	Diets	Size_Class	Home_Range	Activity	Schooling	Level_water
12529	IM	S3	Sed	Day	Sol	Bottom
12530	IM	S3	Sed	Day	SmallG	Low
12531	IM	S3	Sed	Day	SmallG	Low
12532	IM	S3	Sed	Day	SmallG	Low
12533	IS	S2	Sed	Day	Pair	Bottom
12534	OM	S3	Sed	Day	Pair	Bottom
12535	IS	S2	Sed	Day	Pair	Bottom
12536	IM	S3	Sed	Day	Pair	Low
12537	IM	S2	Sed	Day	Pair	Low
12538	IM	S3	Sed	Day	Pair	Bottom
12539	IM	S3	Sed	Day	Pair	Bottom
1255	PK	S5	VMob	Day	LargeG	Low
12553	IM	S4	Sed	Both	Sol	Bottom
12554	FC	S4	Sed	Night	Sol	Bottom
12555	FC	S3	Sed	Night	Sol	Bottom
12556	IM	S1	Sed	Night	Sol	Bottom
1256	HD	S5	Mob	Day	SmallG	Bottom
12564	FC	S4	Mob	Both	Sol	Bottom
12565	PK	S1	Sed	Night	SmallG	Low
1257	HD	S3	VMob	Day	LargeG	Bottom
1258	HD	S4	Sed	Day	Sol	Bottom
1259	HD	S4	Mob	Day	SmallG	Bottom
12596	PK	S3	Mob	Night	SmallG	Low
12598	PK	S1	Sed	Day	LargeG	Low
126	FC	S6	VMob	Day	SmallG	High
1260	HD	S3	VMob	Day	LargeG	Bottom
12601	IS	S2	Mob	Day	Sol	Bottom
12603	IM	S3	Mob	Day	SmallG	Bottom
12604	IM	S5	Mob	Day	SmallG	Bottom
12605	IM	S2	Sed	Night	Sol	Bottom
12606	IM	S2	Sed	Day	Pair	Bottom
12607	IM	S1	Sed	Day	Pair	Bottom
12609	IM	S2	Sed	Day	Pair	Bottom
1261	HD	S5	Mob	Day	MedG	Bottom
12610	IM	S1	Sed	Day	Pair	Bottom
12611	IM	S2	Sed	Day	Pair	Bottom
12612	IM	S2	Sed	Day	Pair	Bottom
12613	IM	S2	Sed	Day	Sol	Bottom
12614	IM	S2	Sed	Day	Pair	Bottom
12615	IM	S2	Sed	Day	Pair	Bottom
12619	PK	S4	Sed	Day	SmallG	Bottom
1262	OM	S3	Sed	Day	MedG	Bottom
12620	FC	S3	Mob	Both	Sol	Bottom
12622	FC	S3	Sed	Night	Sol	Low
12625	HD	S4	VMob	Day	MedG	Bottom
12626	HD	S5	VMob	Day	LargeG	Bottom
12627	PK	S2	Sed	Night	MedG	Low
12628	PK	S1	Sed	Night	LargeG	Low
12629	FC	S2	Sed	Night	SmallG	Low
