Order	Family	Genus	Species	Latin_name	Reef_associated
1119	Perciformes	Pomacentridae	Abudefduf	saxatilis	Abudefduf_saxatilis	1
11194	Perciformes	Pomacanthidae	Pomacanthus	asfur	Pomacanthus_asfur	1
1120	Perciformes	Pomacentridae	Abudefduf	taurus	Abudefduf_taurus	1
11209	Perciformes	Pomacanthidae	Pomacanthus	chrysurus	Pomacanthus_chrysurus	1
1121	Perciformes	Pomacentridae	Chromis	multilineata	Chromis_multilineata	1
11214	Tetraodontiformes	Tetraodontidae	Feroxodon	multistriatus	Feroxodon_multistriatus	1
1122	Perciformes	Pomacentridae	Microspathodon	chrysurus	Microspathodon_chrysurus	1
11223	Tetraodontiformes	Diodontidae	Tragulichthys	jaculiferus	Tragulichthys_jaculiferus	1
11227	Tetraodontiformes	Diodontidae	Cyclichthys	hardenbergi	Cyclichthys_hardenbergi	1
1123	Perciformes	Haemulidae	Anisotremus	surinamensis	Anisotremus_surinamensis	1
11238	Pleuronectiformes	Bothidae	Grammatobothus	pennatus	Grammatobothus_pennatus	1
1124	Perciformes	Haemulidae	Anisotremus	virginicus	Anisotremus_virginicus	1
11250	Perciformes	Chaetodontidae	Coradion	altivelis	Coradion_altivelis	1
11258	Scorpaeniformes	Platycephalidae	Onigocia	oligolepis	Onigocia_oligolepis	1
1126	Perciformes	Haemulidae	Haemulon	album	Haemulon_album	1
11269	Lophiiformes	Antennariidae	Tathicarpus	butleri	Tathicarpus_butleri	1
1128	Perciformes	Haemulidae	Haemulon	aurolineatum	Haemulon_aurolineatum	1
1129	Perciformes	Haemulidae	Haemulon	bonariense	Haemulon_bonariense	1
1130	Perciformes	Haemulidae	Haemulon	boschmae	Haemulon_boschmae	1
1131	Perciformes	Haemulidae	Haemulon	carbonarium	Haemulon_carbonarium	1
1134	Perciformes	Haemulidae	Haemulon	chrysargyreum	Haemulon_chrysargyreum	1
1135	Perciformes	Haemulidae	Haemulon	flavolineatum	Haemulon_flavolineatum	1
1136	Perciformes	Haemulidae	Haemulon	macrostomum	Haemulon_macrostomum	1
1138	Perciformes	Haemulidae	Haemulon	melanurum	Haemulon_melanurum	1
